STATENM,COUNTYNM,COUNTYFIPS
Ohio,Highland,39071
California,Alpine,06003
Florida,Escambia,12033
Illinois,Lawrence,17101
Mississippi,Wayne,28153
Mississippi,Tishomingo,28141
Montana,Sanders,30089
New York,Albany,36001
Pennsylvania,Potter,42105
Missouri,Greene,29077
Missouri,Shelby,29205
Alaska,Haines,02100
Arizona,Mohave,04015
Georgia,Haralson,13143
Kentucky,McCracken,21145
Minnesota,Rock,27133
Oregon,Marion,41047
Tennessee,Montgomery,47125
Texas,Jeff Davis,48243
Wisconsin,Kewaunee,55061
Arkansas,Garland,05051
California,Tuolumne,06109
Illinois,Kendall,17093
Kansas,Neosho,20133
Iowa,Hardin,19083
Minnesota,Olmsted,27109
Minnesota,Mahnomen,27087
Nebraska,Blaine,31009
Minnesota,Todd,27153
Pennsylvania,Sullivan,42113
South Dakota,Davison,46035
Texas,Rockwall,48397
Nebraska,Lincoln,31111
Texas,Kerr,48265
Nebraska,McPherson,31117
Puerto Rico,Morovis,72101
South Dakota,Hyde,46069
Puerto Rico,San Lorenzo,72129
Texas,Kendall,48259
Texas,Blanco,48031
Alabama,Baldwin,01003
Alabama,Franklin,01059
Colorado,Jackson,08057
Iowa,Mitchell,19131
Kansas,Chautauqua,20019
Michigan,Muskegon,26121
New Mexico,McKinley,35031
South Dakota,Custer,46033
Texas,Dallam,48111
Missouri,Crawford,29055
Arkansas,Cross,05037
California,Tehama,06103
California,Trinity,06105
Idaho,Lincoln,16063
Indiana,Ripley,18137
Kansas,Haskell,20081
Kansas,Lyon,20111
Illinois,Moultrie,17139
Mississippi,Pontotoc,28115
Missouri,Daviess,29061
North Carolina,Randolph,37151
Ohio,Fairfield,39045
Oklahoma,Harper,40059
Texas,Midland,48329
West Virginia,Taylor,54091
Texas,Bastrop,48021
Texas,Concho,48095
Virginia,Manassas Park,51685
Virginia,Colonial Heights,51570
Puerto Rico,Florida,72054
Indiana,Bartholomew,18005
Indiana,Decatur,18031
Iowa,Butler,19023
Kansas,Greenwood,20073
Illinois,Effingham,17049
Iowa,Mahaska,19123
Michigan,Shiawassee,26155
Nebraska,York,31185
Michigan,Wexford,26165
North Dakota,Wells,38103
Ohio,Seneca,39147
Ohio,Williams,39171
Nebraska,Keith,31101
Texas,Dickens,48125
New York,Lewis,36049
West Virginia,McDowell,54047
Ohio,Sandusky,39143
Oklahoma,Blaine,40011
New Mexico,De Baca,35011
Texas,Shackelford,48417
Texas,Irion,48235
Wisconsin,Marathon,55073
Puerto Rico,Cidra,72041
West Virginia,Nicholas,54067
Wisconsin,Rusk,55107
Puerto Rico,Comerio,72045
Nebraska,Hamilton,31081
Nebraska,Arthur,31005
Texas,Frio,48163
Puerto Rico,Yabucoa,72151
Utah,Piute,49031
Wisconsin,Taylor,55119
Puerto Rico,Las Marias,72083
Nebraska,Thomas,31171
Alabama,Geneva,01061
Colorado,Cheyenne,08017
Kansas,Johnson,20091
Montana,Park,30067
Nebraska,Chase,31029
Oregon,Curry,41015
Pennsylvania,Lehigh,42077
Pennsylvania,Cameron,42023
Texas,Childress,48075
Alabama,Fayette,01057
California,San Benito,06069
Nebraska,Boone,31011
Virginia,Winchester,51840
Puerto Rico,Corozal,72047
South Dakota,Deuel,46039
Texas,Taylor,48441
Virginia,Rappahannock,51157
Kansas,Sherman,20181
Iowa,Greene,19073
Mississippi,Newton,28101
Oregon,Grant,41023
Colorado,Archuleta,08007
Idaho,Boundary,16021
Kansas,Smith,20183
Missouri,Ripley,29181
New York,Seneca,36099
Oregon,Josephine,41033
Tennessee,Macon,47111
Georgia,Forsyth,13117
Georgia,Spalding,13255
Iowa,Jones,19105
Iowa,Jefferson,19101
Michigan,Ogemaw,26129
Minnesota,Lyon,27083
Missouri,Lawrence,29109
Kansas,Grant,20067
Georgia,Taliaferro,13265
Illinois,Lee,17103
Iowa,Fayette,19065
Iowa,Carroll,19027
Michigan,Ingham,26065
Missouri,Audrain,29007
Minnesota,Stevens,27149
Ohio,Harrison,39067
Oklahoma,Okfuskee,40107
South Dakota,Turner,46125
Nebraska,Clay,31035
Nebraska,Seward,31159
Washington,Mason,53045
Iowa,Appanoose,19007
South Dakota,Beadle,46005
California,Sierra,06091
Georgia,Grady,13131
Indiana,Franklin,18047
Iowa,Winnebago,19189
Mississippi,Marion,28091
New York,Schuyler,36097
Pennsylvania,Butler,42019
Texas,Cochran,48079
Alaska,Wrangell,02275
Arkansas,Faulkner,05045
Georgia,Jefferson,13163
Indiana,Putnam,18133
Iowa,Poweshiek,19157
Illinois,Logan,17107
Michigan,Genesee,26049
Missouri,Dade,29057
Nebraska,Howard,31093
Michigan,Missaukee,26113
South Dakota,Miner,46097
South Dakota,Clark,46025
Texas,Callahan,48059
Virginia,Radford,51750
Puerto Rico,Hormigueros,72067
Texas,Fisher,48151
Texas,Jones,48253
Texas,Menard,48327
Texas,Wise,48497
Puerto Rico,Juncos,72077
Tennessee,Cannon,47015
Indiana,Kosciusko,18085
Tennessee,Grundy,47061
Kentucky,Edmonson,21061
California,El Dorado,06017
Washington,Pierce,53053
Iowa,Palo Alto,19147
Kentucky,Graves,21083
Illinois,Macon,17115
Iowa,Story,19169
Wisconsin,Menominee,55078
Iowa,Webster,19187
Illinois,Putnam,17155
Iowa,Benton,19011
Illinois,Saline,17165
Indiana,DeKalb,18033
Kentucky,Simpson,21213
Missouri,Worth,29227
New York,Allegany,36003
Oregon,Wasco,41065
Florida,St. Lucie,12111
Washington,King,53033
Alaska,Aleutians West,02016
Georgia,Banks,13011
Georgia,Bartow,13015
Illinois,Macoupin,17117
Indiana,Marshall,18099
Iowa,Boone,19015
Illinois,Jefferson,17081
Mississippi,Jasper,28061
Missouri,Grundy,29079
Kansas,Lincoln,20105
Ohio,Morrow,39117
South Dakota,Day,46037
Texas,Uvalde,48463
Nebraska,Polk,31143
Texas,Comal,48091
Texas,Gillespie,48171
Michigan,Isabella,26073
