PLT_CN,DRYBIO_AG_TPA
174763344020004,122.36957
174763483020004,76.15349
174763516020004,4.20973
174763630020004,13.23662
174763697020004,90.90198
174763763020004,96.22808
174763876020004,397.37998
174763932020004,2.53774
174764004020004,289.601
216958887020004,182.13033
216959206020004,21.80776
216959214020004,170.60614
216959249020004,41.60672
216959368020004,121.98102
216959541020004,1.4955
216960092020004,7.88721
216960093020004,0
216960485020004,133.98071
216960651020004,23.8933
216961330020004,54.1963
216961580020004,93.44528
216961607020004,17.54166
216961638020004,4.54135
238861689489998,86.88993
238861711489998,3.28778
238861713489998,41.49944
238861762489998,106.23668
273639986489998,143.01819
273640564489998,6.41989
273640711489998,54.09536
273640829489998,114.59679
273640830489998,125.50797
273641007489998,85.79434
273641350489998,0.43834
273641351489998,161.30094
273641474489998,72.68862
273641679489998,236.44351
273641999489998,99.86877
273642009489998,13.03492
273642066489998,98.01886
273642207489998,252.43635
273642303489998,55.67814
273642394489998,17.15243
290008494489998,192.86457
290008929489998,10.75343
290008943489998,330.08996
290008952489998,244.08844
30763311020004,89.3782
30763312020004,47.39538
30763313020004,50.37037
30763314020004,189.13308
30763315020004,216.14108
30763417020004,69.27792
30763418020004,12.71998
30763551020004,180.71025
30764539020004,231.69223
30764540020004,330.86857
30764541020004,44.1523
30764542020004,35.34563
30764636020004,31.81824
30764637020004,2.8144
30764639020004,86.20936
30764744020004,87.20951
30765087020004,73.47978
30765088020004,84.03205
30765114020004,139.72627
30852133020004,301.91928
30852173020004,171.21856
30852394020004,54.86437
30852685020004,400.49605
345933358489998,7.91244
345933514489998,7.38462
345933959489998,199.95796
345934500489998,0.98348
345934708489998,146.03483
345935185489998,138.1266
345935378489998,54.55278
345935431489998,427.91908
345935457489998,98.63785
345935482489998,196.61485
345935558489998,102.30779
345935662489998,2.04015
345935688489998,35.31557
345936674489998,87.50649
345936675489998,25.56464
345936676489998,57.90859
346864010489998,46.07722
346864537489998,73.04388
346864566489998,30.88438
40219880010497,104.50094
40219935010497,38.58737
40219942010497,37.87232
40219943010497,217.81569
40219965010497,85.62342
40219970010497,6.35966
40220052010497,159.73072
40220083010497,15.16467
40220096010497,23.77021
40220098010497,19.94982
40220163010497,73.10953
40220871010497,26.31458
412219852489998,9.02097
412219884489998,256.44815
412220581489998,50.04259
412220633489998,36.94452
412220674489998,115.88484
412220709489998,16.15422
412221060489998,179.60664
412221061489998,38.97115
412221479489998,287.09779
412222031489998,9.71716
412222221489998,68.00255
412222262489998,81.25797
412222337489998,124.36538
412222402489998,88.76679
444202578489998,147.87827
444202611489998,134.05814
444202641489998,59.97257
444202642489998,123.60453
444202643489998,14.16576
444202691489998,180.02205
44540178020004,23.57476
44540347020004,149.62946
44540984020004,78.19721
44541013020004,196.68281
44541212020004,14.96094
44542012020004,167.06271
44542053020004,37.59819
44542494020004,240.30182
44542568020004,22.47133
44543002020004,32.90025
44543063020004,75.25744
44543272020004,74.88915
44543405020004,119.51755
44543519020004,227.4224
48203029010497,67.77667
48203060010497,10.68738
48203621010497,65.98249
48203725010497,59.94517
48203746010497,0.13739
48204113010497,112.96025
48204114010497,64.97073
48204405010497,48.24939
48204868010497,239.90187
48204946010497,34.93121
48205380010497,1.54012
48205412010497,35.45687
48205774010497,22.55235
48205777010497,93.12768
48205851010497,99.94144
48205928010497,23.9591
48206267010497,346.28983
48206419010497,20.35348
484817829489998,112.41807
484817831489998,2.35716
484817832489998,44.8166
484817833489998,0.50097
484817834489998,103.75124
484817853489998,156.47107
484817856489998,32.31873
484819087489998,119.08123
484819088489998,139.62121
484819089489998,186.60405
484819090489998,3.39451
484819092489998,125.07816
484819415489998,34.17276
484819418489998,8.07605
484819420489998,11.11854
490388236126144,77.20535
490388247126144,40.26854
490388408126144,64.93175
490388411126144,358.68375
490388472126144,16.30011
490388529126144,8.85055
490388530126144,3.41521
490388670126144,316.13779
558628162126144,22.279419999999998
558628163126144,38.82397
558628166126144,148.01572
558628167126144,39.71123
558628168126144,1.43784
558628169126144,0.03086
558628187126144,275.10726
558628190126144,152.00897
558629417126144,131.10586
558629420126144,14.24695
558629751126144,42.76792
558629753126144,33.20546
558630684126144,141.6829
558630748126144,34.36729
558630825126144,27.48443
